CODIGO;GENERO;NOMBRE;MARCA;TALLA;COLOR; PRECIO ;DESCRIPCION;RUTA_IMAGEN;CATEGORIA
1;H;JERSEY GANT;GANT;L;AZUL;15;;C1;ABRIGOS
2;M;JERSEY MASSIMO DUTTI;MASSIMO DUTTI;XL;NEGRO;9;;C2;ABRIGOS
3;M;PANTALON;-;44;MARRON;9;;C3;PANTALONES
4;M;PANTALON VAQUERO;-;34;AZUL;9;;C4;PANTALONES
5;H;PANTALON CHINO;SPRINGFIELD;42;AZUL;9;;C5;PANTALONES
6;H;SUDADERA CON CREMALLERA;CHAMPION;M;GRIS;17;;C6;ABRIGOS
7;M;SUDADERA;POLO RALPH LAUREN;12a-14a;AZUL;20;;C7;ABRIGOS
8;M;CAMISETA POLO;POLO RALPH LAUREN;XL;NEGRO&BLANCO;10;;C8;CAMISETAS
9;H;CAMISETA;KAPPA;L;AZUL;10;;C9;CAMISAS
10;H;CAMISETA;QUIKSILVER;M;AZUL;10;;C10;CAMISAS
11;M;CAMISETA MANGA LARGA;TOMMY HILFIGER;M;NARANJA;10;;C11;CAMISAS
12;H;CAMISETA;O'NEILL;M;AZUL;10;;C12;CAMISAS
13;M;CAMISETA TIRANTE;TOMMY HILFIGER;12a-14a;BLANCO;10;;C13;CAMISAS
14;H;CAMISETA;NIKE;XL;ROJO;7;;C14;CAMISAS
15;M;PANTALON VAQUERO;-;36;AZUL;9;;C15;PANTALONES
16;H;SUDADERA;ADIDAS;S;ROJO;20;;C16;ABRIGOS
17;H;SUDADERA;KAPPA;L;ROJO;20;;C17;ABRIGOS
18;H;CAMISETA;CARHATT;M;BURDEOS;10;;C18;CAMISAS
19;H;CAMISA;HUGO BOSS;M;GRIS;12;;C19;CAMISAS
20;H;CAMISA;MASSIMO DUTTI;XXL;ESTAMPADO;12;;C20;CAMISAS
21;H;CAMISA;EMIDIO TUCCI;XXL;CREMA;12;;C21;CAMISAS
22;H;CAMISA;-;M;ESTAMPADO;10;;C22;CAMISAS
23;M;ABRIGO;ZARA;XL;MARRON;25;;C23;ABRIGOS
24;M;ABRIGO;WOOLRICH;M;TURQUESA;30;;C24;ABRIGOS
25;H;ABRIGO;-;XL;ROJO;20;;C25;ABRIGOS
26;M;ABRIGO;-;M;ROSA;20;;C26;ABRIGOS
27;M;ABRIGO;-;M;MARRON;17;;C27;ABRIGOS
28;H;CHAQUETA;GREEN COAST;XL;BEIGE;20;;C28;ABRIGOS
29;M;CHAQUETA;-;M;GRIS;12;;C29;ABRIGOS
